Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides DMSO 1	Peptides DMSO 2	Peptides DMSO 3	Peptides OXS008450 1	Peptides OXS008450 2	Peptides OXS008450 3	Peptides OXS008450/OXS008255 1uM 1	Peptides OXS008450/OXS008255 1uM 2	Peptides OXS008450/OXS008255 1uM 3	Peptides OXS008450/OXS008255 25uM 1	Peptides OXS008450/OXS008255 25uM 2	Peptides OXS008450/OXS008255 25uM 3	Peptides OXS008450/OXS008255 5uM 1	Peptides OXS008450/OXS008255 5uM 2	Peptides OXS008450/OXS008255 5uM 3	Peptides OXS008450/Paclitaxel 1	Peptides OXS008450/Paclitaxel 2	Peptides OXS008450/Paclitaxel 3	Peptides OXS008483 1	Peptides OXS008483 2	Peptides OXS008483 3	Razor + unique peptides DMSO 1	Razor + unique peptides DMSO 2	Razor + unique peptides DMSO 3	Razor + unique peptides OXS008450 1	Razor + unique peptides OXS008450 2	Razor + unique peptides OXS008450 3	Razor + unique peptides OXS008450/OXS008255 1uM 1	Razor + unique peptides OXS008450/OXS008255 1uM 2	Razor + unique peptides OXS008450/OXS008255 1uM 3	Razor + unique peptides OXS008450/OXS008255 25uM 1	Razor + unique peptides OXS008450/OXS008255 25uM 2	Razor + unique peptides OXS008450/OXS008255 25uM 3	Razor + unique peptides OXS008450/OXS008255 5uM 1	Razor + unique peptides OXS008450/OXS008255 5uM 2	Razor + unique peptides OXS008450/OXS008255 5uM 3	Razor + unique peptides OXS008450/Paclitaxel 1	Razor + unique peptides OXS008450/Paclitaxel 2	Razor + unique peptides OXS008450/Paclitaxel 3	Razor + unique peptides OXS008483 1	Razor + unique peptides OXS008483 2	Razor + unique peptides OXS008483 3	Unique peptides DMSO 1	Unique peptides DMSO 2	Unique peptides DMSO 3	Unique peptides OXS008450 1	Unique peptides OXS008450 2	Unique peptides OXS008450 3	Unique peptides OXS008450/OXS008255 1uM 1	Unique peptides OXS008450/OXS008255 1uM 2	Unique peptides OXS008450/OXS008255 1uM 3	Unique peptides OXS008450/OXS008255 25uM 1	Unique peptides OXS008450/OXS008255 25uM 2	Unique peptides OXS008450/OXS008255 25uM 3	Unique peptides OXS008450/OXS008255 5uM 1	Unique peptides OXS008450/OXS008255 5uM 2	Unique peptides OXS008450/OXS008255 5uM 3	Unique peptides OXS008450/Paclitaxel 1	Unique peptides OXS008450/Paclitaxel 2	Unique peptides OXS008450/Paclitaxel 3	Unique peptides OXS008483 1	Unique peptides OXS008483 2	Unique peptides OXS008483 3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage DMSO 1 [%]	Sequence coverage DMSO 2 [%]	Sequence coverage DMSO 3 [%]	Sequence coverage OXS008450 1 [%]	Sequence coverage OXS008450 2 [%]	Sequence coverage OXS008450 3 [%]	Sequence coverage OXS008450/OXS008255 1uM 1 [%]	Sequence coverage OXS008450/OXS008255 1uM 2 [%]	Sequence coverage OXS008450/OXS008255 1uM 3 [%]	Sequence coverage OXS008450/OXS008255 25uM 1 [%]	Sequence coverage OXS008450/OXS008255 25uM 2 [%]	Sequence coverage OXS008450/OXS008255 25uM 3 [%]	Sequence coverage OXS008450/OXS008255 5uM 1 [%]	Sequence coverage OXS008450/OXS008255 5uM 2 [%]	Sequence coverage OXS008450/OXS008255 5uM 3 [%]	Sequence coverage OXS008450/Paclitaxel 1 [%]	Sequence coverage OXS008450/Paclitaxel 2 [%]	Sequence coverage OXS008450/Paclitaxel 3 [%]	Sequence coverage OXS008483 1 [%]	Sequence coverage OXS008483 2 [%]	Sequence coverage OXS008483 3 [%]	Intensity	Intensity DMSO 1	Intensity DMSO 2	Intensity DMSO 3	Intensity OXS008450 1	Intensity OXS008450 2	Intensity OXS008450 3	Intensity OXS008450/OXS008255 1uM 1	Intensity OXS008450/OXS008255 1uM 2	Intensity OXS008450/OXS008255 1uM 3	Intensity OXS008450/OXS008255 25uM 1	Intensity OXS008450/OXS008255 25uM 2	Intensity OXS008450/OXS008255 25uM 3	Intensity OXS008450/OXS008255 5uM 1	Intensity OXS008450/OXS008255 5uM 2	Intensity OXS008450/OXS008255 5uM 3	Intensity OXS008450/Paclitaxel 1	Intensity OXS008450/Paclitaxel 2	Intensity OXS008450/Paclitaxel 3	Intensity OXS008483 1	Intensity OXS008483 2	Intensity OXS008483 3	LFQ intensity DMSO 1	LFQ intensity DMSO 2	LFQ intensity DMSO 3	LFQ intensity OXS008450 1	LFQ intensity OXS008450 2	LFQ intensity OXS008450 3	LFQ intensity OXS008450/OXS008255 1uM 1	LFQ intensity OXS008450/OXS008255 1uM 2	LFQ intensity OXS008450/OXS008255 1uM 3	LFQ intensity OXS008450/OXS008255 25uM 1	LFQ intensity OXS008450/OXS008255 25uM 2	LFQ intensity OXS008450/OXS008255 25uM 3	LFQ intensity OXS008450/OXS008255 5uM 1	LFQ intensity OXS008450/OXS008255 5uM 2	LFQ intensity OXS008450/OXS008255 5uM 3	LFQ intensity OXS008450/Paclitaxel 1	LFQ intensity OXS008450/Paclitaxel 2	LFQ intensity OXS008450/Paclitaxel 3	LFQ intensity OXS008483 1	LFQ intensity OXS008483 2	LFQ intensity OXS008483 3	MS/MS count DMSO 1	MS/MS count DMSO 2	MS/MS count DMSO 3	MS/MS count OXS008450 1	MS/MS count OXS008450 2	MS/MS count OXS008450 3	MS/MS count OXS008450/OXS008255 1uM 1	MS/MS count OXS008450/OXS008255 1uM 2	MS/MS count OXS008450/OXS008255 1uM 3	MS/MS count OXS008450/OXS008255 25uM 1	MS/MS count OXS008450/OXS008255 25uM 2	MS/MS count OXS008450/OXS008255 25uM 3	MS/MS count OXS008450/OXS008255 5uM 1	MS/MS count OXS008450/OXS008255 5uM 2	MS/MS count OXS008450/OXS008255 5uM 3	MS/MS count OXS008450/Paclitaxel 1	MS/MS count OXS008450/Paclitaxel 2	MS/MS count OXS008450/Paclitaxel 3	MS/MS count OXS008483 1	MS/MS count OXS008483 2	MS/MS count OXS008483 3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A1B0GUX3;O95090;H3BQ48;H3BMN4;A0A1B0GV41;F6TI76;O95086;A0A0D9SFH9;Q2TA70;A0A1B0GW34;A0A1B0GV71;B4DFF3;A0A0A0MRC7;A0A1B0GWD3;A0A024QZB8;Q13286	A0A1B0GUX3;O95090;H3BQ48;H3BMN4;A0A1B0GV41;F6TI76;O95086;A0A0D9SFH9;Q2TA70;A0A1B0GW34;A0A1B0GV71;B4DFF3;A0A0A0MRC7;A0A1B0GWD3;A0A024QZB8;Q13286	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	Battenin	CLN3	tr|A0A1B0GUX3|A0A1B0GUX3_HUMAN Battenin (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=1;tr|O95090|O95090_HUMAN Battenin (Fragment) OS=Homo sapiens OX=9606 GN=CLN3 PE=1 SV=1;tr|H3BQ48|H3BQ48_HUMAN Battenin (Fragment) OS=Homo sapiens OX=9606 GN=CLN3 PE=1 SV=2;t	16	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	12.6	12.6	12.6	15.398	135	135;167;176;218;269;285;336;341;360;363;370;384;390;399;438;438	0	2.4534	0	0	0	0	12.6	12.6	12.6	12.6	0	0	0	0	0	0	0	0	0	12.6	12.6	12.6	0	112100000	0	0	0	0	15937000	25306000	25248000	0	0	0	0	0	0	0	0	0	0	10099000	17458000	18052000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7269200	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	7				0	6806	True	7224	47649;47650;47651;47652;47653;47654;47655	49414;49415;49416;49417;49418;49419;49420	49419		
P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;Q00526;K7ELV5;A0A2R8YF61;A0A087WZU2;A0A087X209;E5RGN0;E7EUK8;Q9BVE2;G3V317;K7EJ83;F8VXD2;A0A2R8Y7W5;F5H6Z0;J3QSD7;A0A2R8Y644;A0A2R8YD28;F8VWX7;F8VZ51;H0YAZ9;F8VTV8;Q00535;P11802;P50750;Q96Q40;O94921;Q07002;Q00536;Q00537;A0A2R8YEB7;F8VYH9;F8VZZ0;Q9NYV4	P06493;A0A024QZP7;E5RIU6;A0A087WZZ9	7;7;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	7;7;6;6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	5;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	Cyclin-dependent kinase 1	CDK1;CDC2	sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend	36	7	7	5	0	1	0	2	1	3	1	0	0	3	4	3	4	5	3	3	3	2	5	4	4	0	1	0	2	1	3	1	0	0	3	4	3	4	5	3	3	3	2	5	4	4	0	1	0	2	1	2	1	0	0	2	2	2	2	3	1	2	1	0	3	2	3	24.6	24.6	18.2	34.095	297	297;297;189;224;305;164;915;448;418;393;340;324;39;213;132;1099;470;1201;239;456;203;208;260;201;292;303;372;435;469;474;496;523;143;170;186;1490	0	56.549	0	4	0	8.8	4.7	10.1	4	0	0	12.1	15.8	12.1	15.8	21.2	10.4	12.1	10.4	6.4	19.2	15.2	15.5	4124300000	0	21395000	0	54452000	73667000	87171000	30986000	0	0	167360000	371440000	390600000	365810000	499730000	204750000	255290000	120760000	50625000	549160000	388930000	492140000	0	0	0	0	0	63334000	0	0	0	128230000	149280000	178190000	199950000	174230000	145550000	154230000	145710000	74650000	178290000	145210000	142320000	0	0	0	2	1	2	1	0	0	3	4	3	4	6	3	4	3	2	5	5	5	53				1	1207;3092;3420;3913;4124;5410;6497	True;True;True;True;True;True;True	1258;3230;3584;4099;4325;5750;6902	8586;8587;8588;8589;8590;8591;8592;8593;8594;8595;8596;8597;8598;8599;21099;21100;21101;21102;21103;21104;21105;21106;24000;27087;27088;27089;27090;27091;27092;27093;27094;27095;27096;27097;27098;27099;28438;28439;37595;37596;37597;37598;37599;37600;37601;37602;37603;37604;37605;37606;37607;37608;45159;45160;45161;45162	8769;8770;8771;8772;8773;8774;8775;8776;8777;8778;8779;8780;8781;8782;21749;21750;21751;21752;21753;21754;21755;21756;24849;27970;27971;27972;27973;27974;27975;27976;27977;27978;27979;27980;27981;27982;29343;29344;38851;38852;38853;38854;38855;38856;38857;38858;38859;38860;38861;38862;38863;38864;46766;46767;46768;46769	8771;21756;24849;27974;29344;38859;46767		
H7C0A4;A0A024R4E5;Q00341	H7C0A4;A0A024R4E5;Q00341	1;1;1	1;1;1	1;1;1	Vigilin	HDLBP	tr|H7C0A4|H7C0A4_HUMAN Vigilin (Fragment) OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=8;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;sp|Q00341|VIGLN_HUMAN Vigilin O	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	3	36.923	332	332;1268;1268	0	5.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1				2	2525	True	2638	17534	18053	18053		
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	A0A024R4M0;P46781;B5MCT8;C9JM19	9;9;7;7;2;2	9;9;7;7;2;2	9;9;7;7;2;2	40S ribosomal protein S9	RPS9	tr|A0A024R4M0|A0A024R4M0_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606	6	9	9	9	3	3	0	4	3	2	4	3	3	6	4	3	4	4	5	2	2	5	5	4	3	3	3	0	4	3	2	4	3	3	6	4	3	4	4	5	2	2	5	5	4	3	3	3	0	4	3	2	4	3	3	6	4	3	4	4	5	2	2	5	5	4	3	36.1	36.1	36.1	22.591	194	194;194;139;156;77;79	0	20.757	16	16	0	20.1	13.9	9.3	18	14.9	14.4	27.8	19.6	14.4	19.6	18	23.7	10.3	10.3	23.7	23.7	16.5	14.4	4697500000	74440000	347980000	0	145080000	98715000	74344000	192680000	146300000	48848000	353660000	503320000	255370000	250640000	193090000	314430000	142210000	210710000	277850000	558260000	320280000	189260000	135090000	245940000	0	90323000	122320000	83145000	66734000	85839000	208970000	130060000	189140000	120940000	111190000	102620000	109810000	186330000	247290000	133660000	138020000	132650000	92369000	3	4	0	5	3	2	3	3	3	5	5	3	4	4	5	2	2	5	5	4	3	73				3	1673;2790;3030;4076;4144;4145;4301;5928;6001	True;True;True;True;True;True;True;True;True	1752;2913;3166;4276;4345;4346;4512;6302;6377	12297;12298;12299;12300;12301;12302;12303;12304;12305;12306;12307;12308;12309;12310;12311;12312;19195;19196;20672;20673;20674;20675;20676;20677;20678;20679;20680;20681;20682;28198;28199;28200;28201;28549;28550;28551;28552;28553;28554;28555;28556;28557;28558;28559;28560;28561;28562;28563;28564;28565;28566;29815;29816;29817;29818;29819;29820;29821;41397;41398;41399;41400;41401;41402;41403;41404;41405;41406;41407;41408;41409;41410;41411;41412;41686	12637;12638;12639;12640;12641;12642;12643;12644;12645;12646;12647;12648;12649;12650;12651;12652;19768;19769;21319;21320;21321;21322;21323;21324;21325;21326;21327;21328;21329;29103;29104;29105;29106;29454;29455;29456;29457;29458;29459;29460;29461;29462;29463;29464;29465;29466;29467;29468;29469;29470;29471;30866;30867;30868;30869;30870;30871;30872;42822;42823;42824;42825;42826;42827;42828;42829;42830;42831;42832;42833;42834;42835;42836;42837;43113	12637;19769;21326;29103;29469;29471;30866;42823;43113		
A0A024RA52;P25787;H3BT36;C9JCK5;H7C402	A0A024RA52;P25787	6;6;2;2;1	6;6;2;2;1	6;6;2;2;1	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2	tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2	5	6	6	6	1	0	0	1	1	1	1	0	4	1	1	0	1	1	0	1	0	1	2	2	1	1	0	0	1	1	1	1	0	4	1	1	0	1	1	0	1	0	1	2	2	1	1	0	0	1	1	1	1	0	4	1	1	0	1	1	0	1	0	1	2	2	1	42.7	42.7	42.7	25.898	234	234;234;48;164;36	0	35.934	4.3	0	0	4.3	4.3	4.3	4.3	0	30.3	4.3	9	0	4.3	9	0	4.3	0	9	13.2	17.1	9	987460000	0	0	0	1045400	5210100	4691200	7880300	0	104880000	6410100	127240000	0	3589700	35359000	0	873760	0	78466000	224190000	204010000	183620000	0	0	0	0	0	0	0	0	249340000	0	0	0	0	0	0	0	0	0	109560000	74844000	100790000	1	0	0	1	1	1	1	0	6	1	1	0	1	1	0	1	0	0	3	3	2	24				4	2716;2791;3750;4961;6677;8381	True;True;True;True;True;True	2836;2914;3928;5206;7088;8889	18820;19197;26038;34350;34351;34352;34353;34354;34355;34356;34357;34358;34359;34360;46652;46653;46654;46655;46656;46657;46658;46659;46660;59269	19359;19770;26913;35533;35534;35535;35536;35537;35538;35539;35540;35541;35542;35543;35544;48331;48332;48333;48334;48335;48336;48337;48338;48339;61498	19359;19770;26913;35541;48335;61498	0	79
E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1	E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1	1;1;1;1	1;1;1;1	1;1;1;1	Solute carrier family 22 member 18	SLC22A18	tr|E9PRM7|E9PRM7_HUMAN Solute carrier family 22 member 18 OS=Homo sapiens OX=9606 GN=SLC22A18 PE=1 SV=1;tr|A0A0J9YWM3|A0A0J9YWM3_HUMAN Solute carrier family 22 member 18 OS=Homo sapiens OX=9606 GN=SLC22A18 PE=1 SV=1;tr|A0A024RCG2|A0A024RCG2_HUMAN Solute ca	4	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.7	3.7	3.7	34.952	326	326;326;424;424	0.0012121	1.9188	0	0	0	0	0	3.7	0	0	0	0	0	0	0	0	0	0	0	0	3.7	0	0	9772400	0	0	0	0	0	5674000	0	0	0	0	0	0	0	0	0	0	0	0	4098400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1603300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5	6780	True	7197	47485;47486	49248;49249	49249		
P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;H0Y710;X6REW1;F6S6P2;F6X9W3;F6U341;H0Y4L1;F6TC96;F6WML8;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;F6UR09;F6VEM6	P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47	5;5;5;5;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1	5;5;5;5;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1	5;5;5;5;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1	Large proline-rich protein BAG6	BAG6;BAT3	sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN HLA-B associated transcri	19	5	5	5	0	0	0	1	1	2	2	2	0	1	2	2	1	1	1	0	0	1	1	4	2	0	0	0	1	1	2	2	2	0	1	2	2	1	1	1	0	0	1	1	4	2	0	0	0	1	1	2	2	2	0	1	2	2	1	1	1	0	0	1	1	4	2	8.1	8.1	8.1	119.41	1132	1132;1132;1126;1077;742;226;742;515;259;262;136;158;244;243;232;215;206;197;258	0	27.079	0	0	0	2.7	2.7	3.7	4.9	3.7	0	2.7	1.9	3.6	2.7	0.9	2.7	0	0	2.7	1.4	6	4.2	558220000	0	0	0	14855000	11559000	28119000	25648000	30564000	0	8821000	34272000	32215000	12254000	27440000	8323000	0	0	4482100	98891000	171740000	49044000	0	0	0	0	0	35631000	0	32842000	0	0	21367000	23333000	0	0	0	0	0	0	0	17037000	18879000	0	0	0	1	1	2	2	2	0	1	2	2	1	1	1	0	0	1	1	4	2	24				6	667;774;1792;4317;4664	True;True;True;True;True	699;808;1878;4529;4894	5003;5004;5005;5006;5007;5008;5009;5010;5011;5012;5013;5014;5841;13040;13041;13042;29904;29905;29906;29907;32126;32127;32128;32129	5095;5096;5097;5098;5099;5100;5101;5102;5103;5104;5105;5106;5966;13384;13385;13386;30956;30957;30958;30959;33203;33204;33205;33206	5098;5966;13385;30957;33203	1	984
A0A075B6E2;P39019	A0A075B6E2;P39019	1;1	1;1	1;1	40S ribosomal protein S19	RPS19	tr|A0A075B6E2|A0A075B6E2_HUMAN 40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=1;sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	12.7	12.7	12.7	7.8309	71	71;145	0	2.2016	0	0	0	0	0	0	0	0	0	0	12.7	0	0	0	0	0	0	0	12.7	12.7	12.7	186610000	0	0	0	0	0	0	0	0	0	0	25256000	0	0	0	0	0	0	0	50687000	28392000	82276000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32662000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1				7	7742	True	8214	54535;54536;54537;54538	56564;56565;56566;56567	56566		
F5H500;F5H7Y6;P62834;P61224;F5GYH7;F5H077;F5GWU8;F5H491;F5H0B7;F5H6R7;F5H004;F5H4H0;A0A075B6Q0;F5GYB5;F5GX62;E7ESV4;F8WBC0;A6NIZ1	F5H500;F5H7Y6;P62834;P61224;F5GYH7;F5H077;F5GWU8;F5H491;F5H0B7;F5H6R7;F5H004;F5H4H0;A0A075B6Q0;F5GYB5;F5GX62;E7ESV4	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1	Ras-related protein Rap-1A;Ras-related protein Rap-1b	RAP1B;RAP1A	tr|F5H500|F5H500_HUMAN Ras-related protein Rap-1b (Fragment) OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;tr|F5H7Y6|F5H7Y6_HUMAN Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;sp|P62834|RAP1A_HUMAN Ras-related protein Rap-1A OS=Homo sa	18	3	3	3	0	0	1	2	2	2	2	1	0	2	2	0	2	2	3	0	0	0	2	2	2	0	0	1	2	2	2	2	1	0	2	2	0	2	2	3	0	0	0	2	2	2	0	0	1	2	2	2	2	1	0	2	2	0	2	2	3	0	0	0	2	2	2	21.8	21.8	21.8	11.395	101	101;179;184;184;53;84;87;93;98;122;127;48;129;136;139;157;32;184	0	13.157	0	0	10.9	10.9	10.9	10.9	10.9	10.9	0	10.9	10.9	0	10.9	10.9	21.8	0	0	0	10.9	10.9	10.9	1179200000	0	0	0	61696000	116130000	80129000	148610000	72963000	0	69911000	120110000	0	100290000	63705000	94835000	0	0	0	80711000	108180000	61944000	0	0	0	49932000	56313000	45880000	57736000	0	0	45467000	50241000	0	42757000	28105000	44496000	0	0	0	33854000	39522000	38753000	0	0	1	2	3	2	3	1	0	2	3	0	3	2	4	0	0	0	1	2	2	31				8	4984;8220;8221	True;True;True	5231;8717;8718	34512;34513;58026;58027;58028;58029;58030;58031;58032;58033;58034;58035;58036;58037;58038;58039;58040;58041;58042;58043;58044;58045;58046;58047;58048;58049;58050;58051;58052;58053;58054;58055;58056	35697;35698;60216;60217;60218;60219;60220;60221;60222;60223;60224;60225;60226;60227;60228;60229;60230;60231;60232;60233;60234;60235;60236;60237;60238;60239;60240;60241;60242;60243;60244;60245;60246	35697;60219;60232		
A0A075B730;P58107;H0YDN1;Q15149	A0A075B730;P58107	5;5;1;1	5;5;1;1	5;5;1;1	Epiplakin	EPPK1	tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=2;sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3	4	5	5	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4.7	4.7	4.7	553.12	5063	5063;5088;3447;4684	0	9.7331	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0	0	0	0	0	0	0	0	189250000	0	0	0	0	0	0	0	0	0	0	189250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83074000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4				9	2578;5819;5920;7195;7863	True;True;True;True;True	2694;6189;6294;7644;8347	17820;40736;41355;50385;55533	18340;42151;42780;52226;57610	18340;42151;42780;52226;57610		
